g0,td,w2,chl,sam,time.react,fret
4.906857403,0.001982552,21.04379295,Ac,1,0us,0.2_0.4
4.449376126,0.001887559,18.87381191,Ac,2,0us,0.2_0.4
4.483669014,0.001938574,11.44955583,Ac,3,0us,0.2_0.4
4.684537838,0.001966535,47.64693307,Ac,4,0us,0.2_0.4
4.78800836,0.002148412,32.02068732,Ac,5,0us,0.2_0.4
4.543768277,0.0020923,22.30403565,Ac,6,0us,0.2_0.4
4.949963656,0.002040939,34.60111123,Ac,7,0us,0.2_0.4
4.914970958,0.0020236,31.00647411,Ac,8,0us,0.2_0.4
4.679277854,0.001869565,20.25315451,Ac,9,0us,0.2_0.4
4.552751781,0.00209977,15.12585899,Ac,10,0us,0.2_0.4
4.783076578,0.001956847,25.4235212,Ac,11,0us,0.2_0.4
4.912818075,0.002004393,42.41012608,Ac,12,0us,0.2_0.4
4.568538639,0.001892058,127.8329926,Ac,13,0us,0.2_0.4
5.069658487,0.001958371,50.8887662,Ac,14,0us,0.2_0.4
4.357969687,0.002087985,22.59274521,Ac,15,0us,0.2_0.4
4.442246025,0.00208069,87.93796914,Ac,16,0us,0.2_0.4
4.188145903,0.002058795,7.622129317,Ac,17,0us,0.2_0.4
4.83034048,0.002053356,38.35990464,Ac,18,0us,0.2_0.4
4.52881908,0.00217532,12.55487964,Ac,19,0us,0.2_0.4
4.585304497,0.002132385,9.277695644,Ac,20,0us,0.2_0.4
4.346778116,0.001899252,119.7536906,Ac,1,100us,0.2_0.4
4.050566082,0.001811977,100.7031092,Ac,2,100us,0.2_0.4
4.562942223,0.00205715,66.63621761,Ac,3,100us,0.2_0.4
3.960063972,0.001912101,45.04333944,Ac,4,100us,0.2_0.4
3.768511737,0.001982627,20.93953637,Ac,5,100us,0.2_0.4
4.401202248,0.001865316,24.33917717,Ac,6,100us,0.2_0.4
4.221852304,0.001766368,687.9334527,Ac,7,100us,0.2_0.4
4.465185433,0.001976789,93.69481074,Ac,8,100us,0.2_0.4
3.9959256,0.001984421,24.68001025,Ac,9,100us,0.2_0.4
4.270416429,0.001947813,23.55277957,Ac,10,100us,0.2_0.4
4.444984881,0.001867179,22.00617641,Ac,11,100us,0.2_0.4
4.398695641,0.001872424,138.6051224,Ac,12,100us,0.2_0.4
4.126325555,0.001975584,71.53907807,Ac,13,100us,0.2_0.4
4.611394156,0.001815061,40.73236012,Ac,14,100us,0.2_0.4
4.50775812,0.001848673,44.21173904,Ac,15,100us,0.2_0.4
4.74081355,0.001885189,17.74753658,Ac,16,100us,0.2_0.4
4.68786149,0.001959288,39.36858036,Ac,17,100us,0.2_0.4
4.433550955,0.001870759,26.14756738,Ac,18,100us,0.2_0.4
4.429104716,0.002056572,18.45593255,Ac,19,100us,0.2_0.4
4.58269264,0.001903124,33.18322765,Ac,20,100us,0.2_0.4
4.179801402,0.001912344,35.22253536,Ac,1,200us,0.2_0.4
4.434488432,0.001937703,581.0183051,Ac,2,200us,0.2_0.4
4.078102389,0.001756034,90.57776888,Ac,3,200us,0.2_0.4
4.205258934,0.001928988,86.96160612,Ac,4,200us,0.2_0.4
4.082173319,0.001692038,43.35156368,Ac,5,200us,0.2_0.4
4.76983117,0.001842753,59.16926871,Ac,6,200us,0.2_0.4
4.468749248,0.00183021,44.77364921,Ac,7,200us,0.2_0.4
4.841990051,0.001810785,53.83875763,Ac,8,200us,0.2_0.4
4.331129464,0.001690385,534.9445479,Ac,9,200us,0.2_0.4
4.291905111,0.001747345,34.08779232,Ac,10,200us,0.2_0.4
4.674028536,0.001900009,118.4549611,Ac,11,200us,0.2_0.4
5.012537531,0.001871592,38.84506225,Ac,12,200us,0.2_0.4
4.415446186,0.00186236,56.12054101,Ac,13,200us,0.2_0.4
4.513294369,0.001853349,61.01449677,Ac,14,200us,0.2_0.4
4.463973879,0.001922129,26.43038092,Ac,15,200us,0.2_0.4
4.340963547,0.001840363,38.41510491,Ac,16,200us,0.2_0.4
4.199554111,0.001790376,42.46220061,Ac,17,200us,0.2_0.4
4.227465115,0.001859651,21.18159836,Ac,18,200us,0.2_0.4
4.66360172,0.002008077,21.25855087,Ac,19,200us,0.2_0.4
4.528452046,0.001800823,30.0524504,Ac,20,200us,0.2_0.4
4.188566683,0.001923547,16.41658522,Ac,1,500us,0.2_0.4
4.552990528,0.001799655,273.9000562,Ac,2,500us,0.2_0.4
4.37021346,0.001745961,68.88167819,Ac,3,500us,0.2_0.4
3.994792477,0.001781005,292.6997474,Ac,4,500us,0.2_0.4
4.685149855,0.001804419,255.6926342,Ac,5,500us,0.2_0.4
4.609715646,0.001931154,18.07621497,Ac,6,500us,0.2_0.4
4.778850177,0.001885395,35.63487702,Ac,7,500us,0.2_0.4
4.672414787,0.001774389,102.4613084,Ac,8,500us,0.2_0.4
4.641725132,0.001758617,24.25363958,Ac,9,500us,0.2_0.4
4.196336122,0.00173911,34.66702675,Ac,10,500us,0.2_0.4
4.630366574,0.001772944,17618391.59,Ac,11,500us,0.2_0.4
4.656975416,0.001790928,105.1450612,Ac,12,500us,0.2_0.4
4.248823935,0.00183939,117.3145644,Ac,13,500us,0.2_0.4
5.350912607,0.002023593,34.97749464,Ac,14,500us,0.2_0.4
4.852552245,0.001853278,212.7539706,Ac,15,500us,0.2_0.4
5.037556178,0.001795652,104.8448905,Ac,16,500us,0.2_0.4
4.356364323,0.001666812,50.47121743,Ac,17,500us,0.2_0.4
4.392725424,0.001812074,22.07585618,Ac,18,500us,0.2_0.4
4.481639604,0.001941318,33.39164504,Ac,19,500us,0.2_0.4
4.75215893,0.001768291,101.9094424,Ac,20,500us,0.2_0.4
9.48845859,0.002010871,13.31861573,Dr,1,0us,0.2_0.4
8.833395903,0.001990946,13.44347144,Dr,2,0us,0.2_0.4
9.252967754,0.001990587,13.43330525,Dr,3,0us,0.2_0.4
9.697214635,0.00196689,46.7867712,Dr,4,0us,0.2_0.4
9.462323018,0.002142831,21.70815634,Dr,5,0us,0.2_0.4
9.349246199,0.002090883,52.76051852,Dr,6,0us,0.2_0.4
9.045682407,0.002008758,21.0559385,Dr,7,0us,0.2_0.4
10.01647127,0.002151809,25.72035126,Dr,8,0us,0.2_0.4
9.116033239,0.001958647,21.82985176,Dr,9,0us,0.2_0.4
9.178693579,0.001997878,15.57370853,Dr,10,0us,0.2_0.4
9.466487317,0.001998213,22.05023914,Dr,11,0us,0.2_0.4
9.528509613,0.001999937,40.87183224,Dr,12,0us,0.2_0.4
9.260506292,0.001946632,30.74129439,Dr,13,0us,0.2_0.4
9.948893173,0.002026806,30.2541447,Dr,14,0us,0.2_0.4
9.698934041,0.002054414,77.78044086,Dr,15,0us,0.2_0.4
8.863631386,0.002144342,80.2925186,Dr,16,0us,0.2_0.4
9.092214215,0.001992069,14.94766453,Dr,17,0us,0.2_0.4
9.722048682,0.002026121,106.9454771,Dr,18,0us,0.2_0.4
9.734811973,0.002095543,25.72315158,Dr,19,0us,0.2_0.4
9.288586038,0.002130415,9.197839633,Dr,20,0us,0.2_0.4
9.554895742,0.001978756,62.72605022,Dr,1,100us,0.2_0.4
9.079220921,0.001861627,64.7026786,Dr,2,100us,0.2_0.4
10.12912188,0.002091675,49.83390346,Dr,3,100us,0.2_0.4
9.000443832,0.001940832,38.6341985,Dr,4,100us,0.2_0.4
8.736230645,0.002017627,17.28855115,Dr,5,100us,0.2_0.4
9.037050075,0.00201754,13.54786479,Dr,6,100us,0.2_0.4
8.787607923,0.001816873,216.9333427,Dr,7,100us,0.2_0.4
9.199528485,0.002027297,55.97958066,Dr,8,100us,0.2_0.4
8.281964143,0.002110456,15.3905817,Dr,9,100us,0.2_0.4
